Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.0000046566452203,-0.9999898327598731,-1.8948392271995544,,32,9,jalon_60_0
2,-0.9999926560326784,-0.9999836287950806,-1.9309011697769165,,51,5,60
3,-0.9999656905644864,-0.9999515802168426,-1.6778574585914612,,18,3,61
4,-0.9999337241249336,-0.999970294940206,-1.5650420784950256,,31,5,62
5,-0.9999377442767449,-1.0000138483259238,-1.8831661343574524,,42,2,63
6,-0.9998169442900718,-1.0000188540652568,-1.9784338474273682,,46,9,jalon_60_20
7,-0.9998195249731869,-0.9999719545736556,-1.7165191173553467,,63,2,64
8,-0.9998388278618956,-0.9999388786850756,-1.4691128134727478,,13,6,65
9,-0.9998824173441003,-0.9999394083619548,-1.8543798923492432,,28,3,66
10,-0.9998301097408087,-0.999907471340036,-1.7098119258880615,,36,0,67
11,-0.9998063581105979,-0.9998855920984973,-1.9507560729980469,,30,8,68
12,-0.9998258125983291,-0.9998812324283324,-1.617640733718872,,19,9,69
13,-0.9997889965457579,-0.9998404830727243,-1.9396938681602478,,46,5,jalon_80_20
14,-0.9998605869866735,-0.9998963350731124,-1.3799287974834442,,11,4,70
15,-0.9998757208272803,-0.9998624055671469,-1.5250638723373413,,32,7,71
16,-0.9998812915484545,-0.9998619819070563,-1.4113338887691498,,20,2,72
17,-0.999911017442167,-0.9998933123201453,-1.4723963141441345,,25,7,73
18,-0.9999235426611986,-0.999886586081106,-1.42107954621315,,24,8,74
